,stock number,population name,species,esu/dps name,federal status,listing date,salmon recovery region,major population grouping,population goals,population history,run_timing_LH,stock definition,stock data description,stock spawning distribution,stock genetic analysis description
11,1106,Skykomish Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Snohomish Basin Chinook,"Upper mgmt threshold = 4,600.  Low abundance threshold = 2800.  For both Snohomish basin stocks combined: Rebuilding ER = 21%, Critical ER ceiling = 15% SUS.","This is a native stock with composite production. Green River-origin Chinook were released from Wallace Hatchery. However, that practice has been discontinued, and only Wallace River Chinook are now released.",Summer/Fall Chinook,Skykomish Chinook were identified as a stock based on their distinct spawning distribution and genetic composition (Puget Sound TRT 2001).,"Data are total spawner abundance estimates based on redd counts from aerial, foot and float surveys plus Sunset Falls passage. On the Pilchuck, Sultan, and Wallace rivers and Elwell, Wallace, Bridal Veil, and Olney creeks, multiple MRC (marked redd censuses) are used to count all new redds. On the mainstem Snohomish, Skykomish, and North Fork Skykomish Rivers, total visible redd counts from flight surveys are used to calculate redd curves (AUC method) for total redd-days and then divided by a standard 21-day redd life to estimate total redds, unless real-time redd-life data is available and deemed more applicable. Redds are assumed to represent females. All estimates of total redds are then multiplied by 2.5 to estimate the total number of fish (females plus males). Counts of Chinook passed above Sunset Falls on the South Fork Skykomish are then added.","Spawning takes place throughout the mainstem Skykomish and Snohomish rivers. Spawning also occurs in the Pilchuck River, Wallace River, Bridal Veil Creek, Sultan River, Elwell Creek, and in the North and South forks of the Skykomish, including spawning areas above Sunset Falls on the South Fork.",Allozyme analysis has shown that Skykomish summer Chinook are genetically distinct from all other Puget Sound Chinook stocks examined (Puget Sound TRT 2001).
12,1108,Snoqualmie Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Snohomish Basin Chinook,"Upper mgmt threshold = 4600.  Low abundance threshold = 2800.  For both Snohomish basin stocks combined: Rebuilding ER = 21%, Critical ER ceiling = 15% SUS.",This is a native stock with wild production.,Summer/Fall Chinook,Snoqualmie Chinook were identified as a stock based on their distinct spawning distribution.,"Data are total spawner abundance estimates based on redd counts from aerial, foot and float surveys. On the Tolt and Raging Rivers, and Tokul Creek, multiple MRC (marked redd censuses) are used to count all new redds.  On the mainstem Snoqualmie, several total visible redd counts from flight surveys are used to calculate redd curves (AUC method) for total redd-days and then divided by a standard 21-day redd life to estimate total redds, unless real-time redd life data is available and deemed more applicable. Redds are assumed to represent females. All estimates of total redds are then multiplied by 2.5 to estimate the total number of fish (females plus males).",Spawning takes place throughout the Snoqualmie River and major tributaries including Raging and Tolt rivers and Tokul Creek.,Allozyme analysis has shown that this stock is genetically distinct from all other Puget Sound Chinook stocks examined (Marshall 1997).
13,1128,Sammamish Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Lake Washington Chinook,EG=350,This is a mixed stock with composite production.,Summer/Fall Chinook,"Sammamish Chinook, formerly North Lake Washington Tribs Chinook, were identified as a stock based on their distinct spawning distribution.","Data are the sum of index area escapement estimates for the two primary Chinook spawning areas within the Sammamish basin; 1) Bear Creek/Cottage Lake Creek and 2) Issaquah Creek.  Chinook spawning escapement for the Bear/Cottage area is based on counts of live Chinook in Bear Creek (RM 1.3 to RM 7.1) and in Cottage Lake Creek (RM 0 to RM 2.3), and spawning escapement for the Issaquah area is comprised of total carcass counts in lower Issaquah Creek (RM 1.0 to RM 3.0) and East Fork Issaquah Creek (RM 0.0 to RM 3.1).  Small numbers of Chinook are observed spawning in other portions of the Sammamish watershed in most years, but are not included in these escapement estimates.","Sammamish Chinook primarily spawn in Issaquah Creek, Bear Creek, and Cottage Lake Creek.  Additional areas that support Chinook spawning include larger tributaries to the Sammamish River (North, Swamp, and Little Bear Creeks) and larger tributaries to Lake Washington (Kelsey, Coal, May, Thornton, and McAleer Creeks).",Allozyme analysis of the Issaquah and North Lake Washington Tribs Chinook stocks has yielded no strong indication that the two stocks are genetically distinct (Marshall 2000). Microsatellite DNA analysis also showed no evidence that the Issaquah and North Lake Washington Tribs populations were significantly different from one another (Young and Shaklee 2000). Both Lake Washington stocks were significantly different from Soos Creek Hatchery (Green River) Chinook and from White River (Puyallup) spring Chinook sampled at the Hupp Springs Hatchery (Young and Shaklee 2000). Genetic data provide moderately strong support for the current independence of Chinook salmon spawning in the Sammamish River basin.
14,1144,Cedar Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Lake Washington Chinook,"EG = 1,200.  Upper mgmt threshold = 1,200.  Low abundance threshold = 200.  Rebuilding ER = 15% PT SUS, Critical ER ceiling = 12% PT SUS.",This is a native stock with wild production.,Summer/Fall Chinook,Cedar chinook were identified as a stock based on their distinct spawning distribution.,"Total natural spawning escapement to the Cedar River mainstem, including both Hatchery-Origin and Natural Origin spawners.  Estimates from 1999 to the present are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Values prior to 1999 were calculated using live count data and Area-Under-the-Curve (AUC) estimates of escapement, which were subsequently multiplied by a factor of 1.399.  The 1.399 factor was calculated by regressing AUC estimates against Redd-Based estimates between the years 1999 and 2008 (the years when redd-based escapements and AUC-based escapements were estimated simulateously).  Some spawning typically occurrs in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and fish spawning in these tributaries are not included in this estimate of escapement.","Most spawning takes place in the mainstem Cedar River. Some spawning also occurs in Taylor Creek, and spawning may occur in Rock Creek when flows are adequate.",Allozyme analysis has shown that Cedar chinook are significantly different from the Sammamish River Chinook stock (Marshall 2000).
15,1160,Green River (Duwamish) Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Duwamish/Green River Chinook,"EG = 5,800.  Upper mgmt threshold = 5,800.  Low abundance threshold = 1,800.  Rebuilding ER = 15% PT SUS, Critical ER ceiling = 12% PT SUS.","This stock is a native stock with composite production. Broodstock for the original Soos Creek hatchery chinook program in this watershed came from native Green River adults either captured on the river or diverted into Soos Creek by a weir placed across the river near the mouth of the creek in the early 1900s. Eggs from out-of-basin hatcheries have occasionally been imported to supplement eggs takes at Soos Creek, but the hatchery stock has remained, to a very large extent, a local Soos Creek stock. There is a significant amount of genetic interchange between wild and hatchery-origin chinook that return to the hatchery rack and are spawned each year, and conversely, between stray hatchery adults and wild fish that intermingle on spawning grounds within the basin.",Summer/Fall Chinook,Green River (Duwamish) chinook were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimates based on redd counts in the mainstem Green River from RM 26.7 to RM 61.0, and in Newaukum Creek from RM 0.0 to 3.9.",Most spawning generally takes place in the mainstem Green River from RM 23 to 61.2 and in the lower six miles of Newaukum and Soos creeks.,"Allozyme analysis has shown no significant difference between Newaukum Creek natural spawners and Soos Creek hatchery chinook. Green River mainstem natural spawners have not been analyzed. Soos Creek Hatchery chinook were also not significantly different from Issaquah Hatchery chinook, Skykomish Hatchery fall chinook or Marblemount Hatchery summer/fall chinook (Marshall et al. 1995, Marshall 2000)."
16,1176,Puyallup Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Puyallup River Chinook,"Upper mgmt threshold = 500 (South Prairie Creek only).  Low abundance threshold = 500.  Recovery ER = 50% (total), Critical ER ceiling = 12% PT SUS.","This is a stock of mixed origin with composite production. There were extensive releases of non-native hatchery chinook stocks including stocks from Hood Canal, Deschutes, Minter Creek and Green River from 1973 to1988.",Summer/Fall Chinook,Puyallup chinook were identified as a stock based on their distinct spawning distribution.,Data are: 1) total escapement estimates based on a new escapement estimation methodology developed in 1999. This method expands cumulative redd counts or area-under-the-curve from a variety of index reaches throughout the Puyallup River basin; 2) Escapement estiamtes since 1999 not comparable to earlier estimates.,"Spawning takes place in the mainstem Puyallup, Carbon, and White rivers, South Prairie Creek and various smaller tributaries.","Allozyme analysis of 1992 and 1993 South Prairie Creek naturally-spawning chinook showed that they are similar to Green River chinook and their hatchery derivatives including Hood Canal, Puyallup, Deschutes, Skykomish and Issaquah hatchery chinook (Marshall et al. 1995)."
17,1184,White River Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Puyallup River Chinook,"Interim Recovery = 1,000 unmarked (NOR) adults at Buckley trap with normal level of sport, commercial and tribal incidental harvest.  Upper mgmt threshold = 1,000.  Low abundance threshold = 200.  Rebuilding ER = 20% (total), Critical ER ceiling = 15% SUS","This stock is a native stock with composite production. A captive broodstock program was initiated in the 1970s but has since been discontinued. In addition to natural production, the stock is now propagated at the WDFW Hupp Springs Hatchery on the Kitsap Peninsula and at the Muckleshoot Tribe`s White River Hatchery. Any juveniles in excess of hatchery program needs are released from acclimation ponds in the upper White River above Mud Mountain Dam to supplement the naturally spawning component of the stock.",Spring Chinook,"White River Chinook, formerly White River (Puyallup) spring chinook, were identified as a stock based on their early river entry (beginning in April), spawning timing, and genetic composition.","Data are counts of adult Spring Chinook spawners at the U.S. Army Corps of Engineers adult trap on the White River (RM 24.3) near Buckley, WA. Juveniles at the MIT White River Hatchery and the WDFW Hupp Springs Hatchery are released into the White River from acclimation ponds in the upper watershed, above Mud Mountain Dam. These juveniles are marked with left or right ventral fin clips. Adult chinook with ventral fin clips are included in the counts of White River spring chinook at the Buckley trap.","Spawning takes place in the mainstem White River, West Fork White River, in the lower reaches of the Clearwater and Greenwater rivers and in lower Huckleberry Creek. Spawning historically took place above Mud Mountain Dam.",Allozyme and DNA analyses have shown White River Chinook to be genetically distinct from all other Washington chinook stocks (Marshall et al. 1995). Recent microsatellite DNA analysis indicates that fall chinook are intermingled with spring chinook at the Buckley trap (Shaklee and Young in review).
18,1200,Nisqually Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Nisqually River Chinook,"EG=1,200","This is a mixed stock with composite production. The native chinook stock may have been largely replaced by Soos Creek Hatchery (Green River) chinook released into the Nisqually system and from Soos Creek Hatchery-origin strays from the Nisqually Tribe`s Clear Creek and Kalama Creek hatcheries and the WDFW McAllister Creek Hatchery. Stock origin is difficult to determine because the life history and genetic composition of the native Nisqually stock may have resembled those of other South Sound chinook stocks, including Green River and Puyallup (Anne Marshall, WDFW, personal communication). Current genetic and life history patterns could reflect native stock characteristics and/or extensive introgression with South Sound hatchery fish and so are not very informative (Puget Sound TRT 2001).",Summer/Fall Chinook,Nisqually Chinook were identified as a stock based on their distinct spawning distribution.,Data prior to 2012 are total escapement estimates based on mainstem Nisqually live and dead counts from RM 21.8 to 26.2 and Mashel River peak live plus dead fish counts from RM 0.0 to 3.2. Data from 2012 to current are total escapement estimates calculated using a new methodology (Change In Ratio).,"Most spawning occurs in the mainstem Nisqually from RM 15.0 to 40.0, Mashel River (RM 0.0 to 3.2), Ohop Creek (RM 0.0 to 6.2), and approximately the lower half-mile of Twentyfive Mile Creek, Yelm Creek, Horn Creek, and Muck Creek. Spawning also occurs in the mainstem above river mile 3 and in numerous side channels.","Chinook spawning in the Nisqually mainstem, Mashel River and Ohop Creek were sampled in 1998, 1999 and 2000. Allele frequencies of the combined samples were similar to those of a few South Sound hatchery and wild chinook populations. They were distinct from North Sound and other Washington chinook. The extent of hatchery-origin fish in the genetic samples is currently unknown (Anne Marshall, WDFW, personal communication)."
19,1208,Skokomish Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Skokomish River Chinook,"Natural EG = 1,650.  Upper mgmt threshold = 1,650 natural, 3,650 total.  Low abundance threshold = 1,300.  Rebuilding ER = 15% PT SUS, Critical ER ceiling = 12% PT SUS.",The Skokomish chinook stock is a mixed stock with composite production. Chinook returning to the George Adams Hatchery or Endicott Ponds on the lower Skokomish River stray in substantial numbers onto Skokomish system natural spawning areas.,Summer/Fall Chinook,Skokomish chinook were identified as a stock in 2002 based on their distinct spawning distribution.,"Estimates of naturally spawning chinook are based on counts of live spawners and/or redds in the mainstem and North Fork Skokomish from RM 2.2 to 15.6, in upper 3 tenths of a mile of Hunter Creek, and in the South Fork Skokomish RM 0.0 to 5.5. Hatchery escapements are based on counts at the George Adams Hatchery rack on Purdy Creek, a lower Skokomish River tributary. The total escapement values for this stock are the sums of the natural and hatchery escapements.","Spawning takes place in the mainstem Skokomish, in the lower portions of the North and South forks of the Skokomish, and in Purdy, Vance and Hunter creeks. Hatchery spawning takes place at George Adams Hatchery.","Allozyme analysis results to date suggest that there is no significant genetic differentiation between Skokomish natural chinook spawners and George Adams Hatchery/Hoodsport Hatchery chinook. Extensive transfers of South Sound hatchery chinook to George Adams and Hood Canal hatcheries have taken place. However there appears to be some differentiation between Hood Canal-area chinook and South Sound chinook, indicating that some level of differentiation may be occurring in Hood Canal stocks following the cessation of transfers from South Sound hatcheries. Although allozyme allele frequency divergence is not evidence of local adaptation, it often signifies reproduction isolation. Local adaptations are more likely to be maintained in populations that are reproductively isolated (Marshall 2000)."
20,1236,Mid Hood Canal Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,Mid-Hood Canal Chinook,"Natural EG = 750.  Upper Mgmt threshold = 750.  Low abundance threshold = 400.  Rebuilidng ER = 15% PT SUS, Critical ER ceiling = 12% PT SUS.","This is likely a mixed stock with composite production. We assume that many of the naturally spawning chinook were strays from local hatcheries and/or were adults returning from hatchery fry released into the Hamma Hamma, Duckabush, or Dosewallips rivers. From 1995 through 1999, a hatchery supplementation program used broodstock from George Adams Hatchery (Skokomish River system) to produce chinook fry for release into the Hamma Hamma and Duckabush rivers. Beginning in 2000, only chinook adults returning to the Hamma Hamma were included in the program as broodstock. The Dosewallips program was discontinued in 1993 and the Duckabush program in 1999.",Summer/Fall Chinook,"Mid-Hood Canal chinook were identified as a stock in 2002 based on their distinct spawning distribution. The stock is composed of chinook that spawn in the Hamma Hamma, Duckabush, and Dosewallips watersheds.","Data are index escapement estimates based on redd counts and/or live spawner counts 1) from RM 0.3 to 1.8 in the Hamma Hamma River and in lower John Creek, a tributary; 2) from RM 0.0 to 2.3 in the Duckabush River; and 3) from RM 0.0 to 2.3 or RM 0.0 to 6.7 on the mainstem Dosewallips River. In addition, upper reaches have been surveyed in the Duckabush and Dosewallips rivers since 1998.","Chinook spawn 1) in the lower two miles of the Hamma Hamma River and occasionally in the lower reaches of John Creek, a tributary; 2) in the lower three miles of the Duckabush River; and 3) in the lower twelve miles of the Dosewallips River.","Genetic characterization of Mid-Hood Canal chinook has, to date, been limited to comparison of adults returning to the Hamma Hamma River in 1999 with other Hood Canal and Puget Sound populations. These studies, although not conclusive, suggest that Hamma Hamma returns are not genetically distinct from the Skokomish River returns, or recent George Adams and Hoodsport hatchery broodstock (Anne Marshall, WDFW, unpublished data). The reasons for this similarity are unclear, but straying of chinook that originate from streams further south in Hood Canal and hatchery stocking could e contributing causes."
