"stock_number","population_name","sub_population_name","data_series_num","species","year","abundance_qty","data_type","production_type","calculation_type","escapement_methodology","escapement_methodology_desc","biologist_methodology_desc","comments","report_types","last_update"
"1144","Cedar Chinook","","1","Chinook","2014","306.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2015","1192.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2018","666.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2019","606.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2016","615.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","1","Chinook","2017","1564.0","Spawner Fish","Natural","Expanded","Natural-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known natural origin.","Natural-Origin Spawners:  Total Natural-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total escapement that can be attributed to Natural-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Natural-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE",
"1144","Cedar Chinook","","2","Chinook","2015","606.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2014","262.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2013","240.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2012","169.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2011","159.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2010","113.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2009","136.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2008","152.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2007","255.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2006","304.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2005","246.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2004","383.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2017","469.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2016","410.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2019","249.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","2","Chinook","2018","137.0","Spawner Fish","Hatchery","Expanded","Hatchery-Origin Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild that are of known hatchery origin.","Hatchery-Origin Spawners:  Total Hatchery-Origin spawning escapement to the Cedar River mainstem.  Estimates are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Estimates for the percentage of the total spawning escapement that can be attributed to Hatchery-Origin spawners are based on a combination of carcass surveys conducted in the Cedar River mainstem downstream of Landsburg dam and counts of live chinook passed upstream through the fish passage facility at Landsburg.  Some Hatchery-Origin adults typically spawn in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and these fish are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","3","Chinook","1999","455.0","Spawner Fish","Composite","Expanded","Total Natural Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild, regardless of origin.","Total Natural Spawners:  Total natural spawning escapement to the Cedar River mainstem, including both Hatchery-Origin and Natural Origin spawners.  Estimates from 1999 to the present are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Some spawning typically occurrs in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and fish spawning in these tributaries are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","3","Chinook","2000","133.0","Spawner Fish","Composite","Expanded","Total Natural Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild, regardless of origin.","Total Natural Spawners:  Total natural spawning escapement to the Cedar River mainstem, including both Hatchery-Origin and Natural Origin spawners.  Estimates from 1999 to the present are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Some spawning typically occurrs in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and fish spawning in these tributaries are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","3","Chinook","2001","975.0","Spawner Fish","Composite","Expanded","Total Natural Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild, regardless of origin.","Total Natural Spawners:  Total natural spawning escapement to the Cedar River mainstem, including both Hatchery-Origin and Natural Origin spawners.  Estimates from 1999 to the present are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Some spawning typically occurrs in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and fish spawning in these tributaries are not included in this estimate of escapement.","","SCoRE, SOS",
"1144","Cedar Chinook","","3","Chinook","2002","673.0","Spawner Fish","Composite","Expanded","Total Natural Spawners","Expanded estimate or census of the total number of fish of a stock spawning in the wild, regardless of origin.","Total Natural Spawners:  Total natural spawning escapement to the Cedar River mainstem, including both Hatchery-Origin and Natural Origin spawners.  Estimates from 1999 to the present are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Some spawning typically occurrs in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and fish spawning in these tributaries are not included in this estimate of escapement.","","SCoRE, SOS",
